encoding,loss_function,regularisation,architecture,Average - validation_mse,Average - corresponding_train_mse,Average - validation_mae,Average - corresponding_train_mae,Average - validation_mape,Average - corresponding_train_mape,Average - epoch,Count - epoch
bert,mse,do,core,3.18999685426927E+015,3.19686880194287E+015,32941005.3333333,31988344.6666667,1545.32336425781,1494.88342285156,28,3
,,,deep_narrow,3256678547980288,3.36539401287543E+015,32991089.3333333,32971670.6666667,1562.09798177083,1567.75504557292,51.6666666666667,3
,,,deep_wide,3.31896479005628E+015,3020305559715840,33062886.6666667,32553464,1559.78470865885,1547.12833658854,74.3333333333333,3
,,,shallow_wide,3082918935134208,3.02817250814635E+015,32029713.3333333,32012583.3333333,1458.12060546875,1471.71940104167,44.6666666666667,3
,,l1,core,3.20077588000495E+015,3018256860315648,32780458,31552056.6666667,1511.1581624349,1498.71805826823,80,3
,,,deep_narrow,2.87525064496469E+015,2997108172914688,30957224,32640986,1317.34790039063,1504.38155110677,67,3
,,,deep_wide,2.99730180435695E+015,2759430990987264,31813352.6666667,30808192,1417.3818766276,1422.68802897135,76,3
,,,shallow_wide,3212419178430464,3.56737639269444E+015,32509505.3333333,33741240,1533.80843098958,1498.12548828125,38.6666666666667,3
,,l2,core,2938139882553344,2.78001063996075E+015,30838945.3333333,31570392.6666667,1288.53531901042,1361.08072916667,63.6666666666667,3
,,,deep_narrow,3095840344244224,3217002982277120,32080732,32291940,1449.52388509115,1485.15352376302,58.3333333333333,3
,,,deep_wide,2.83274290624375E+015,2.81675542735531E+015,30740685.3333333,30903707.3333333,1314.4316813151,1324.39017740885,64.6666666666667,3
,,,shallow_wide,3026133561901056,3.27797684340873E+015,31845162.6666667,32289980,1456.9091389974,1502.64371744792,66.6666666666667,3
,,no,core,3.19259969392913E+015,3133859931619328,32966940.6666667,31700421.3333333,1550.33638509115,1528.82731119792,73,3
,,,deep_narrow,2.98010511321771E+015,2.75392435078212E+015,31008213.3333333,30569838.6666667,1318.02604166667,1305.45031738281,51.6666666666667,3
,,,deep_wide,3255996721922048,2.577422669753E+015,32798496,30035562.6666667,1512.02856445313,1320.90832519531,71,3
,,,shallow_wide,3.34371346535765E+015,2880495247425536,32356274.6666667,31998397.3333333,1464.98990885417,1539.09236653646,15.6666666666667,3
learned,mae,do,core,3697929797763072,3863803045347328,27386674,27237356,403.49755859375,321.458862304687,1,1
,,,deep_narrow,3794104852938752,2851601391812608,27220290,26229122,428.958831787109,410.325744628906,2,1
,,,deep_wide,3729899118395392,3653957922586624,27587150,28062782,407.182556152344,352.014923095703,0,1
,,,shallow_wide,3931571723698176,3082033635000320,27740432,26749262,325.849731445312,390.880401611328,1,1
,,l1,core,3943495895089152,3314869180825600,28426082,26932354,299.071411132812,415.587677001953,0,1
,,,deep_narrow,3593219300392960,3745085585883136,26799832,27968738,442.788665771484,453.143676757813,4,1
,,,deep_wide,3516113094705152,3698083074408448,26212990,27927226,432.410736083984,440.067413330078,11,1
,,,shallow_wide,3700106540875776,3385581790822400,27680482,26132958,402.412689208984,387.898468017578,3,1
,,l2,core,3555013687246848,3435502195703808,26737056,27373908,461.34716796875,460.033874511719,8,1
,,,deep_narrow,3590480990306304,3489943590535168,27054586,26838614,452.501739501953,504.866516113281,3,1
,,,deep_wide,3520716762775552,4396753457512448,27148060,27710732,456.152038574219,388.701080322266,3,1
,,,shallow_wide,3578696942223360,2956299809587200,26072394,26787418,372.714721679687,439.830505371094,38,1
,mse,do,core,3030452688388096,3499911135887360,31011906,32722338,1381.43334960938,1493.00211588542,26,3
,,,deep_narrow,3.07343582630161E+015,3.40419098933111E+015,31490664.6666667,31862439.3333333,1423.1904703776,1405.87902832031,18.6666666666667,3
,,,deep_wide,3.06536415109666E+015,3561695314182144,31463902.6666667,32222776.6666667,1414.2100016276,1393.2891031901,8.66666666666667,3
,,,shallow_wide,3239918243414016,2.69318384954027E+015,29746279.3333333,30503980,1168.01216634115,1287.04923502604,4,3
,,l1,core,3.05347228143889E+015,3439107552313344,30675631.3333333,32815256.6666667,1345.79772949219,1431.46529134115,22,3
,,,deep_narrow,3.29381596696849E+015,3.15115835979639E+015,31968200.6666667,32875640,1358.85705566406,1596.97106933594,2,3
